14427,Title,Abstract,0,isolated mitochondria,in vitro,In vitro – Primary cells,"NAD exit, down",Metabolic Regulation,NS,NS,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"lesion evolution, down","Brain injury, down",beta-hydroxybutyrate (BOH),Exogenous BHB (unspecified/free acid),NS
25084,[Radiation response of mitochondria in dependence on their metabolic status (author's transl)].,"The influence of the metabolic status of mitochondria upon their radiation response was studied. It turned out that the reduction of pyridine nucleotides by addition of beta-hydroxybutyrate (BOH) and the decrease through respiration were distinctly impaired in mitochondria with a substrate deficit by an irradiation with 2.7 krd already. The evolution of the lesion depends on the incubation conditions following irradiation, a presence of BOH having protective effects. The general redox level seems to be essential for radiation response of mitochondria. An exit of NAD from mitochondria has proved to be the main cause for inhibition of the respiratory BOH-consumption.",0,erythrocytes; thymocytes,in vitro,In vitro – Primary cells,"influx, up",Ion & Nutrient Transport,NS,NS,erythrocytes,Blood (non-nucleated),Erythrocytes / Reticulocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
126871,Effects of pH on beta-hydroxybutyrate transport in rat erythrocytes and thymocytes.,"Entry of beta-hydroxybutyrate into erythrocytes and thymocytes is facilitated by a carrier (C), as judged from temperature dependence, saturation kinetics, stereospecificity, competition with lactate and pyruvate, and inhibition by moderate concentrations of methylisobutylxanthine, phloretin, or alpha-cyanocinnamate. We studied the dependence of influx and efflux on internal and external pH and [beta-hydroxybutyrate]. Lowering external pH from 8.0 to 7.3 to 6.6 enhanced influx into erythrocytes by lowering entry Km from 29 to 16 to 10 mM, entry V being independent of external pH. Lowering external pH inhibited efflux. At low external pH, external beta-hydroxybutyrate enhanced efflux slightly. At high external pH, external beta-hydroxybutyrate inhibited efflux. Internal acidification inhibited influx and internal alkalization enhanced influx. Internal beta-hydroxybutyrate (betaHB) enhanced influx more in acidified than alkalized cells. These data are compatible with coupled betaHB-/OH- exchange, betaHB- and OH- competing for influx, C:OH- moving faster than C: betaHB-, empty C being immobile. They are also compatible with coupled betaHB-/H+ copermeation, empty C moving inward faster than H+:C:betaHB-, H+:C being immobile, and C:betaHB- (without H+) being so unstable as not to be formed in significant amounts (relative to C, H+:C, and H+:C:betaHB-).",0,male rats (streptozotocin-induced diabetes),animal,Animal – Rat,"NS, nan",Other / Unspecified,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan","1,3-butanediol (BD)","1,3-Butanediol (BD)",NS
176141,"Influence of 1,3-butanediol on blood glucose concentration and pancreatic insulin content of streptozotocin-diabetic rats.","Male rats were made diabetic by intravenous administration of 75 mg/kg of streptozotocin and were fed, via a pair-feeding regimen, high-fat diets +/- 1,3-butanediol (BD) at 13.5 and 27% of the dietary calories for 30 days and 31 days, respectively. 1,3-Butanediol was added to the diets primarily as a replacement for fat. Food consumption and rat weight were recorded daily. Whole blood glucose concentrations were determined weekly. At sacrifice, liver, pancreas and epididymal fat pads were excised and blood samples were collected. Liver was analyzed for protein and lipid; pancreas was weighed and analyzed for insulin; fat pads were weighed and discarded; and blood was analyzed for glucose and lipid. The 13.5% BD diet increased the beta-hydroxybutyrate, acetoacetate and cholesterol concentrations, decreased the glucose concentration in blood, and increased the insulin content of the pancreas. The BD diets did not affect the concentrations of phospholipid, triglyceride, cholesterol and fatty acid in the liver; fatty acid concentrations in the blood; or the epididymal fat pad weight. The results suggest that BD produced a slight amelioration of the diabetic condition, which may have resulted from an increased capacity of the pancreas to synthesize insulin. In addition, the data provide further evidence suggesting that in the rat BD is oxidized to the ketone bodies, beta-hydroxybutyrate and acetoacetate.",0,Azotobacter vinelandii (ATCC 12837); wild-type; nif- strains,in vitro,Animal – Invertebrate; NS,"encystment, up","Cell Proliferation, Growth & Differentiation",NS,NS,wild-type cells,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",0.2% beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
181503,Control of transformation competence in Azotobacter vinelandii by nitrogen catabolite derepression.,"Azotobacter vinelandii (ATCC 12837) became competent to be transformed by exogenous deoxyribonucleic acid towards the end of exponential growth. Competence in wild-type and nitrogenase auxotrophic (nif-) strains was repressed by the addition of ammonium salts or urea to the transformation medium. Transformation of wild-type cells and nif- strains was optimal on nitrogen-free or nitrogen-limiting medium, respectively. Transformation of wild-type cells also was enhanced when the transformation medium had low molydbate content. During the development of competence, nitrogen was growth limiting, whereas carbon (glucose) was in excess. Carbon source shift-down was not effective in inducing competence. Shifting glucose-grown wild-type cells to medium containing 0.2% beta-hydroxybutyrate initiated encystment and also induced competence. The addition of glucose to this medium blocked encystment and early competence induction and reduced the transformation frequency to the basal level. Cyclic adenosine 3',5'-monophosphate induced competence in wild-type nitrogen-fixing cells and increased the transformation frequency 1,000-fold over the basal level. Exogenous cyclic adenosine 3',5'-monophosphate however, did not reverse nitrogen repression of competence in ammonia-grown wild-type or nif- strains.",0; PNPLA2; PDE3B,rat white fat cells; rat fat cells; rat adipose tissue; rat fat cell ghosts,animal,Animal – Rat,"inhibition of cyclic AMP accumulation, down",Metabolic Regulation,white fat,Adipose tissue,fat cells,Adipose,White adipocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
237626,"Inhibition of adenosine 3':k'-monophosphate accumulation white fat acids, lactate, and beta-hydroxybutyrate.","The large increase in cyclic AMP accumulation by rat white fat cells seen in the presence of lipolytic agents plus methylxanthines and adenosine deaminase was markedly inhibited by lactate. However, lipolysis was unaffected by lactate. Octanoate, hexanoate, heptanoate, and beta-hydroxybutyrate inhibited both cyclic AMP accumulation and lipolysis by rat fat cells. The mechanism by which these acids inhibit lipolysis differs from that for long chain fatty acids such as oleate. Oleate directly inhibited triglyceride lipase activity of homogenized rat adipose tissue. In contrast, octanoate, beta-hydroxybutyrate, and lacatate had no effect on triglyceride lipase activity. Hormone-stimulated adenylate cyclase activity of rat fat cell ghosts was inhibited by oleate and 4mM octanoate but not by 1.6 mM octanoate, heptanoate, hexanoate, beta-hydroxybutyrate or lactate. None of the acids affected the soluble protein kinase activity of rat adipose tissue. There was no stimulation by lactate, butyrate, beta-hydroxybutyrate, or octanoate of the soluble or particulate cyclic AMP antilipolytic action of a short chain acid such as octanoate or hexanoate was not accompanied by any drop in total fat cell ATP. The mechanism by which lactate lowers cyclic AMP but not lipolysis remains to be established.",BDH1; OXCT1; ACAT1,male rats,animal,Animal – Rat,"ketone oxidation capacity, up",Metabolic Regulation,gastrocnemius muscle,Skeletal muscle,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Ketosis,Metabolic & Endocrine,"development of ketosis, down","Blood ketones (BHB), down",D-beta[3-14-C]-hydroxybutyrate,NS,D-BHB
305789,Exercise-induced increase in the capacity of rat skeletal muscle to oxidize ketones.,"During and after strenuous prolonged exercise, sedentary individuals develop high blood levels of acetoacetate and beta-hydroxybutyrate whereas exercise-trained animals and human subjects do not. We have investigated the possibility that exercise training can increase the capacity of skeletal muscle to oxidize ketones. In this study we measured rates of D-beta[3-14-C]-hydroxybutyrate and [3-14-C]acetoacetate oxidation, and the levels of activity of the enzymes involved in the oxidation of ketones in homogenates of gastrocnemius muscles of exercise-trained and of untrained male rats. The trained animals had markedly lower blood ketone levels immediately and 60 min after a 90 min long bout of exercise than did the sedentary animals. The rates of D-beta-[13-14C]hydroxybutryate and [3-14-C]acetoacetate oxidation were twice as high in homogenates of muscles from the trained as compared to the sedentary rats. The increases in levels of activity in gastrocnemius muscle in response to the exercise program were: beta-hydroxybutyrate dehydrogenase threefold; 3-ketoacid CoA-transferase twofold; and acetoacetyl-CoA thiolase 55%. This exercise-induced increase in the capacity of skeletal muscle to oxidize ketones could play a role in preventing development of ketosis in the physically trained animal during and following prolonged strenuous exercise.",0,erythrocytes; thymocytes,in vitro,In vitro – Primary cells,"carboxylate transport site-mediated entry, NS",Ion & Nutrient Transport,thymocytes,Thymus,erythrocytes,Blood (non-nucleated),Erythrocytes / Reticulocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,D-BHB
318406,Characterization of beta-hydroxybutyrate transport in rat erythrocytes and thymocytes.,"A method was developed for study of beta-hydroxybutyrate transport in erythrocytes and thymocytes. Critical to the method was a centrifugal separation of cells from medium which took advantage of beta-hydroxybutyrate transport's temperature dependence and inhibition by phloretin and methylisobutylxanthine, all of which are demonstrated in this work. These properies suggested mediated transport, as did saturation kinetics and inhibition by several agents including pyruvate and alpha-cyanocinnamate. Most conclusive in this regard was a 2-fold preference for D- over L-beta-hydroxybutyrate. Entry was not Na+ dependent. It was stimulated by substitution of SO2-4 for most of the Cl-. The equilibrium beta-hydroxybutyrate space was much higher than the Cl- space of thymocytes, suggesting that beta-hydroxybutyrate entry is not associated with net inward negative current and is not coupled to outward Cl- or inward K+ movement (assuming that K+ is at elecrochemical equilibrium). Coupling to H+ entry or OH- exit is compatible with the result. These findings are consistent with beta-hydroxybutyrate entry by the carboxylate transport site which has been studied extensively with pyruvate and lactate as permeants. The Cl-/HCO-3 exchange carrier did not appear to contribute significantly to beta-hydroxybutyrate transport.",0,isolated avian hepatocytes (chick),in vitro,In vitro – Primary cells,"gluconeogenesis, no-change",Metabolic Regulation,liver,Liver,hepatocyte,Epithelial – Hepatobiliary & Pancreatic Ductal,Hepatocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
406798,Gluconeogenesis in isolated chicken (Gallus domesticus) liver cells.,"1. Gluconeogenesis was studied in isolated avian hepatocytes. The highest rate of glucose production obtained was from lactate, followed by dihydroxyacetone, glyceraldehyde, and fructose. Alanine was converted to glucose at only about 4% the rate of lactate. 2. Addition of 10 mM sorbitol, xylitol, or ethanol to the hepatocytes increased glucose production from pyruvate 25-40%, while glycerol addition increased it only 9%. 3. Addition of beta-hydroxybutyrate had no effect on glucose production from lactate or pyruvate. 4. Addition of octanoate had no effect on glucose production from pyruvate, but depressed it from lactate at 5 mM. 5. Differences in the formation of glucose from various substrates suggest some basic differences in the mode of glucose production between the chick and the rat and guinea-pig.",0,multiunit canine tracheal smooth muscle,animal,Animal – Other Mammal,"excitation-contraction coupling, reversed",Ion & Nutrient Transport,tracheal smooth muscle,Upper airway,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
478182,Excitation-contraction coupling in multiunit tracheal smooth muscle during metabolic depletion: induction of rhythmicity.,"Multiunit canine tracheal smooth muscle responded to carbachol with graded depolarization and tonic contraction. The same concentration of carbachol, after metabolic depletion by substrate removal, produced rhythmic contractions and action potentials. Similar mechanical effects were also observed with acetylcholine or histamine. These effects were reversed by reintroducing glucose or beta-hydroxybutyrate, but not by 3-O-methylglucose, which is not metabolized; hence, the structural requirements for glucose, per se, or any osmotic effect were ruled out. Sensitivity to extracellular Ca2+ was increased. A Ca2+-influx blocker, D-600, in low concentration (2 X 10(-8) M) abolished the rhythmic contractions without affecting the tonic contraction. Progressive metabolic depletion in presence of carbachol led to fluctuations in membrane potential with a crest of depolarization and appearance of action potentials, each of which resulted in a small contraction. Many of the small contractions partially fused to form the major rhythmic contractions which appeared at a frequency of one per minute. Rhythmicity could not be produced by increasing extracellular K+ concentration (20-120 mM) in presence of atropine (13(-7) M), but instead a tonic contraction occurred. These results suggest changes in excitation-contraction coupling mechanism with agonists like acetylcholine, carbachol, or histamine during substrate deprivation.",0,rabbit tibial nerve fascicle endoneurial preparation; rabbit sciatic nerve epineurial tissue,animal; in vitro,Animal – Other Mammal,"O2 uptake, no-change",Mitochondrial Function & Bioenergetics,endoneurial preparation,Peripheral nerves & ganglia (PNS),axons; Schwann cells,Neural / Glial,Neurons; Schwann cells (PNS),NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",DL-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),racemic
