PMID,BHB Target,Model Raw,Model Global,Model Cannonical,Mechanism Raw,Mechanism Cannonical,Organ/tissue Raw,Organ/tissue Cannonical,Cell Type Raw,Cell Type Global,Celly Type Cannonical,Organelle Raw,Organelle Global,Organelle Cannonical,Disease,Disease Category,Disease Outcome Nonstandardized,Disease Outcome Standardized,BHB Source Raw,BHB Source Cannonical,Isomer
10078559,0,patients with type 2 diabetes; age- and weight-matched nondiabetic control subjects,human,Human – Observational/Patient samples; Multi-model,"beta-cell lipid blindness, down",Metabolic Regulation,adipose tissue,Adipose tissue,beta-cell,Pancreatic Endocrine,β-cells (islet),NS,Unspecified / Generic,NS,Type 2 diabetes mellitus,Metabolic & Endocrine,"insulin secretion, down","Insulin secretion, down",plasma,NS,NS
1016680,0,isolated white adipocytes from fasted rats,animal; in vitro,Animal – Rat,"peripheral FFA mobilization, down",Metabolic Regulation,white adipocytes,Adipose tissue,white adipocytes,Adipose,White adipocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"free fatty acid release, down; glycerol release, no-change","Free fatty acids, down; Glycerol release, no-change","D,L-beta-hydroxybutyrate",Exogenous BHB (unspecified/free acid),racemic
10328954,0,U937 cells,in vitro,In vitro – Immortalized cell line,"mitochondrial calcium accumulation, up",Mitochondrial Function & Bioenergetics,NS,NS,U937 cells,Hematopoietic / Immune,Monocytes,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"DNA single-strand breaks, up","DNA damage, up",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
10405141,0,isolated working Sprague-Dawley rat hearts,animal,Animal – Rat,"lumped constant, down",Metabolic Regulation,myocardium,Heart,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
10432173,VEGFA,mouse brain microvascular endothelial cells (MBMEC),animal; in vitro,Multi-model,"VPF/VEGF production, up",Vascular Function & Angiogenesis,brain,Brain/CNS,mouse brain microvascular endothelial cells (MBMEC),Endothelial,Endothelial (unspecified),NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
10480618,0,normal RBCs; cell-free buffer solution; hyperketonemic diabetic patients; normoketonemic type 1 diabetic patients; age-matched normal subjects,human; in vitro,In vitro – Primary cells; NS; Human – Observational/Patient samples,"lipid peroxidation, no-change",Multiple mechanisms,RBCs,NS,RBCs,Blood (non-nucleated),Erythrocytes / Reticulocytes,NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
10568508,0,rat forebrain mitochondria,animal; in vitro,Animal – Rat,"NADPH regeneration, up",Metabolic Regulation,forebrain,NS,NS,Unspecified / Mixed,NS,mitochondria,Mitochondria,Unspecified,nan,Other / Unspecified,"NS, nan","NS, nan",NS,NS,NS
10668691,0,rat hippocampal-entorhinal cortex slices; cultured hippocampal neurons,animal; in vitro,Animal – Rat; In vitro – Primary cells,"direct effect on voltage- and ligand-gated ion channels, no-change",Ion & Nutrient Transport,hippocampus,Brain/CNS,hippocampal neurons,Neural / Glial,Neurons,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"NS, nan","NS, nan",NS,NS,NS
10686088,0,Male Wistar rat pups,animal,Animal – Rat,"NS, nan",Other / Unspecified,blood,Blood,NS,Unspecified / Mixed,NS,NS,Unspecified / Generic,NS,Epilepsy,Neurodevelopmental & Neuropsychiatric,"anticonvulsant effect, no-change; proconvulsant effect, up","Seizure protection, no-change; Seizure activity, up",ketogenic diet containing medium-chain triglyceride (MCT) oil,MCT / Medium-chain fats,NS
10751195,0,primary confluent cultured vascular smooth muscle cells (VSMC) from canine femoral artery; freshly dispersed VSMC from canine femoral artery,animal; in vitro,Multi-model; Animal – Other Mammal,"lactate-to-pyruvate ratio (LPR), up",Metabolic Regulation,vascular smooth muscle (canine femoral artery),Vasculature,vascular smooth muscle cells (VSMC),Muscle – Smooth / Perivascular,Vascular smooth muscle cells (VSMC),NS,Unspecified / Generic,NS,nan,Other / Unspecified,"NS, nan","NS, nan","reducing substrate, beta-hydroxybutyrate",Exogenous BHB (unspecified/free acid),NS
10790159,ICA1; 0,cat atrial myocytes; cat ventricular myocytes,animal,Animal – Other Mammal,"glycolytic flux, down",Metabolic Regulation,heart,Heart,cardiac myocytes,Muscle – Skeletal,Skeletal myocytes / myotubes,sarcoplasmic reticulum (SR),Endoplasmic Reticulum,Sarcoplasmic reticulum (SR),nan,Other / Unspecified,"NS, nan","NS, nan",beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),NS
10805800,0,cultured mesencephalic neurons; hippocampal neurons,in vitro,In vitro – Primary cells,"mitochondrial energy generation, up",Mitochondrial Function & Bioenergetics,brain,Brain/CNS,neurons,Neural / Glial,Neurons,mitochondria,Mitochondria,Unspecified,Parkinson's disease; Alzheimer's disease,Neurodegenerative,"neuronal survival, up","Survival, up",4 mM d-beta-hydroxybutyrate,Exogenous BHB (unspecified/free acid),D-BHB
